,Unnamed: 0,CODE,NAME,X,Y,careAddr_1,careAddr,법정동명
0,2,11170,용산구,126.9815,37.5315,서울특별시 용산구,13,서울특별시 용산구
1,3,11200,성동구,127.0415,37.5505,서울특별시 성동구,1,서울특별시 성동구
2,9,11320,도봉구,127.03200000000001,37.6665,서울특별시 도봉구,2,서울특별시 도봉구
3,10,11350,노원구,127.07700000000001,37.655,서울특별시 노원구,1,서울특별시 노원구
4,13,11440,마포구,126.909,37.5625,서울특별시 마포구,10,서울특별시 마포구
5,14,11470,양천구,126.85600000000001,37.527,서울특별시 양천구,1,서울특별시 양천구
6,18,11560,영등포구,126.914,37.5205,서울특별시 영등포구,1,서울특별시 영등포구
7,20,11620,관악구,126.944,37.466,서울특별시 관악구,1,서울특별시 관악구
8,21,11650,서초구,127.038,37.477,서울특별시 서초구,1,서울특별시 서초구
9,24,11740,강동구,127.146,37.5485,서울특별시 강동구,4,서울특별시 강동구
10,33,26350,해운대구,129.159,35.2015,부산광역시 해운대구,4,부산광역시 해운대구
11,36,26440,강서구,128.91250000000002,35.0595,부산광역시 강서구,6,부산광역시 강서구
12,40,26710,기장군,129.2075,35.286,부산광역시 기장군,1,부산광역시 기장군
13,41,27110,중구,128.5945,35.867,대구광역시 중구,4,대구광역시 중구
14,43,27170,서구,128.54899999999998,35.875,대구광역시 서구,5,대구광역시 서구
15,45,27230,북구,128.5685,35.931,대구광역시 북구,2,대구광역시 북구
16,46,27260,수성구,128.66,35.834,대구광역시 수성구,7,대구광역시 수성구
17,49,28110,중구,126.443,37.37300000000001,인천광역시 중구,3,인천광역시 중구
18,55,28245,계양구,126.738,37.559,인천광역시 계양구,2,인천광역시 계양구
19,56,28260,서구,126.659,37.556,인천광역시 서구,1,인천광역시 서구
20,57,28710,강화군,126.5145,37.589,인천광역시 강화군,1,인천광역시 강화군
21,62,29170,북구,126.9285,35.1895,광주광역시 북구,5,광주광역시 북구
22,67,30200,유성구,127.3335,36.38200000000001,대전광역시 유성구,5,대전광역시 유성구
23,69,31110,중구,129.3035,35.571999999999996,울산광역시 중구,1,울산광역시 중구
24,70,31140,남구,129.313,35.508,울산광역시 남구,7,울산광역시 남구
25,72,31200,북구,129.3765,35.598,울산광역시 북구,3,울산광역시 북구
26,73,31710,울주군,129.1695,35.5275,울산광역시 울주군,7,울산광역시 울주군
27,85,41190,부천시,126.7875,37.505,경기도 부천시,4,경기도 부천시
28,87,41220,평택시,126.9665,37.023,경기도 평택시,1,경기도 평택시
29,98,41390,시흥시,126.78399999999999,37.3935,경기도 시흥시,1,경기도 시흥시
30,101,41450,하남시,127.213,37.5305,경기도 하남시,2,경기도 하남시
31,105,41480,파주시,126.8385,37.8495,경기도 파주시,16,경기도 파주시
32,110,41610,광주시,127.2895,37.4005,경기도 광주시,2,경기도 광주시
33,111,41630,양주시,127.012,37.8055,경기도 양주시,21,경기도 양주시
34,115,41820,가평군,127.442,37.811,경기도 가평군,1,경기도 가평군
35,116,41830,양평군,127.57700000000001,37.5185,경기도 양평군,1,경기도 양평군
36,117,42110,춘천시,127.76799999999999,37.8805,강원도 춘천시,1,강원도 춘천시
37,118,42130,원주시,127.98100000000001,37.325,강원도 원주시,1,강원도 원주시
38,119,42150,강릉시,128.8265,37.7105,강원도 강릉시,1,강원도 강릉시
39,120,42170,동해시,129.058,37.516,강원도 동해시,1,강원도 동해시
40,121,42190,태백시,128.98149999999998,37.20399999999999,강원도 태백시,1,강원도 태백시
41,122,42210,속초시,128.518,38.174,강원도 속초시,1,강원도 속초시
42,123,42230,삼척시,129.10399999999998,37.258,강원도 삼척시,1,강원도 삼척시
43,124,42720,홍천군,128.062,37.7485,강원도 홍천군,1,강원도 홍천군
44,127,42760,평창군,128.5045,37.544000000000004,강원도 평창군,1,강원도 평창군
45,128,42770,정선군,128.748,37.3695,강원도 정선군,1,강원도 정선군
46,129,42780,철원군,127.45299999999999,38.2135,강원도 철원군,1,강원도 철원군
47,130,42790,화천군,127.6725,38.141,강원도 화천군,1,강원도 화천군
48,131,42800,양구군,128.012,38.1655,강원도 양구군,1,강원도 양구군
49,132,42810,인제군,128.2465,38.096,강원도 인제군,1,강원도 인제군
