,happen_year,careAddr_1,happenDt,careAddr_0,happen_month
0,2008,강 원 도,2,2,2
1,2008,경 기 도,5,5,5
2,2008,경 상 남 도,2,2,2
3,2008,경 상 북 도,1,1,1
4,2008,충 청 북 도,1,1,1
5,2009,강 원 도,802,802,802
6,2009,경 기 도,16133,16133,16133
7,2009,경 상 남 도,2050,2050,2050
8,2009,경 상 북 도,486,486,486
9,2009,대 구 광 역 시,1277,1277,1277
10,2009,대 전 광 역 시,158,158,158
11,2009,부 산 광 역 시,1,1,1
12,2009,서 울 특 별 시,20,20,20
13,2009,울 산 광 역 시,1,1,1
14,2009,인 천 광 역 시,864,864,864
15,2009,전 라 남 도,110,110,110
16,2009,전 라 북 도,1802,1802,1802
17,2009,충 청 남 도,391,391,391
18,2009,충 청 북 도,689,689,689
19,2010,강 원 도,1340,1340,1340
20,2010,경 기 도,25572,25572,25572
21,2010,경 상 남 도,3208,3208,3208
22,2010,경 상 북 도,600,600,600
23,2010,대 구 광 역 시,4597,4597,4597
24,2010,대 전 광 역 시,1012,1012,1012
25,2010,부 산 광 역 시,5114,5114,5114
26,2010,서 울 특 별 시,9570,9570,9570
27,2010,울 산 광 역 시,677,677,677
28,2010,인 천 광 역 시,4535,4535,4535
29,2010,전 라 남 도,518,518,518
30,2010,전 라 북 도,2215,2215,2215
31,2010,충 청 남 도,464,464,464
32,2010,충 청 북 도,1388,1388,1388
33,2011,강 원 도,1603,1603,1603
34,2011,경 기 도,27628,27628,27628
35,2011,경 상 남 도,1947,1947,1947
36,2011,경 상 북 도,443,443,443
37,2011,대 구 광 역 시,4319,4319,4319
38,2011,대 전 광 역 시,1485,1485,1485
39,2011,부 산 광 역 시,5767,5767,5767
40,2011,서 울 특 별 시,5521,5521,5521
41,2011,울 산 광 역 시,1321,1321,1321
42,2011,인 천 광 역 시,4571,4571,4571
43,2011,전 라 남 도,355,355,355
44,2011,전 라 북 도,2117,2117,2117
45,2011,제 주 특 별 자 치 도,18,18,18
46,2011,충 청 남 도,349,349,349
47,2011,충 청 북 도,1506,1506,1506
48,2012,강 원 도,1864,1864,1864
49,2012,경 기 도,30398,30398,30398
50,2012,경 상 남 도,3070,3070,3070
51,2012,경 상 북 도,2049,2049,2049
52,2012,대 구 광 역 시,5663,5663,5663
53,2012,대 전 광 역 시,1540,1540,1540
54,2012,부 산 광 역 시,7822,7822,7822
55,2012,서 울 특 별 시,5480,5480,5480
56,2012,울 산 광 역 시,4096,4096,4096
57,2012,인 천 광 역 시,5134,5134,5134
58,2012,전 라 남 도,1332,1332,1332
59,2012,전 라 북 도,3136,3136,3136
60,2012,제 주 특 별 자 치 도,1013,1013,1013
61,2012,충 청 남 도,730,730,730
62,2012,충 청 북 도,1658,1658,1658
63,2013,강 원 도,2751,2751,2751
64,2013,경 기 도,27034,27034,27034
65,2013,경 상 남 도,3990,3990,3990
66,2013,경 상 북 도,3171,3171,3171
67,2013,광 주 광 역 시,2736,2736,2736
68,2013,대 구 광 역 시,4330,4330,4330
69,2013,대 전 광 역 시,3261,3261,3261
70,2013,부 산 광 역 시,8300,8300,8300
71,2013,서 울 특 별 시,4338,4338,4338
72,2013,울 산 광 역 시,4086,4086,4086
73,2013,인 천 광 역 시,4679,4679,4679
74,2013,전 라 남 도,2256,2256,2256
75,2013,전 라 북 도,2394,2394,2394
76,2013,제 주 특 별 자 치 도,1580,1580,1580
77,2013,충 청 남 도,2954,2954,2954
78,2013,충 청 북 도,2744,2744,2744
79,2014,강 원 도,2883,2883,2883
80,2014,경 기 도,24918,24918,24918
81,2014,경 상 남 도,4443,4443,4443
82,2014,경 상 북 도,3747,3747,3747
83,2014,광 주 광 역 시,1566,1566,1566
84,2014,대 구 광 역 시,3755,3755,3755
85,2014,대 전 광 역 시,3255,3255,3255
86,2014,부 산 광 역 시,7921,7921,7921
87,2014,서 울 특 별 시,3201,3201,3201
88,2014,세 종 특 별 자 치 시,250,250,250
89,2014,울 산 광 역 시,3604,3604,3604
90,2014,인 천 광 역 시,4901,4901,4901
91,2014,전 라 남 도,2727,2727,2727
92,2014,전 라 북 도,2737,2737,2737
93,2014,제 주 특 별 자 치 도,1364,1364,1364
94,2014,충 청 남 도,3685,3685,3685
95,2014,충 청 북 도,2329,2329,2329
96,2015,강 원 도,3555,3555,3555
97,2015,경 기 도,24601,24601,24601
98,2015,경 상 남 도,4856,4856,4856
99,2015,경 상 북 도,3275,3275,3275
100,2015,광 주 광 역 시,1704,1704,1704
101,2015,대 구 광 역 시,3429,3429,3429
102,2015,대 전 광 역 시,3161,3161,3161
103,2015,부 산 광 역 시,7716,7716,7716
104,2015,서 울 특 별 시,2805,2805,2805
105,2015,세 종 특 별 자 치 시,285,285,285
106,2015,울 산 광 역 시,2982,2982,2982
107,2015,인 천 광 역 시,5220,5220,5220
108,2015,전 라 남 도,2951,2951,2951
109,2015,전 라 북 도,3308,3308,3308
110,2015,제 주 특 별 자 치 도,1756,1756,1756
111,2015,충 청 남 도,4562,4562,4562
112,2015,충 청 북 도,2865,2865,2865
113,2016,강 원 도,3878,3878,3878
114,2016,경 기 도,26614,26614,26614
115,2016,경 상 남 도,5782,5782,5782
116,2016,경 상 북 도,3479,3479,3479
117,2016,광 주 광 역 시,2607,2607,2607
118,2016,대 구 광 역 시,4004,4004,4004
119,2016,대 전 광 역 시,4011,4011,4011
120,2016,부 산 광 역 시,7759,7759,7759
121,2016,서 울 특 별 시,2677,2677,2677
122,2016,세 종 특 별 자 치 시,376,376,376
123,2016,울 산 광 역 시,3060,3060,3060
124,2016,인 천 광 역 시,5621,5621,5621
125,2016,전 라 남 도,2747,2747,2747
126,2016,전 라 북 도,3560,3560,3560
127,2016,제 주 특 별 자 치 도,2614,2614,2614
128,2016,충 청 남 도,4573,4573,4573
129,2016,충 청 북 도,3605,3605,3605
130,2017,강 원 도,4729,4729,4729
131,2017,경 기 도,27871,27871,27871
132,2017,경 상 남 도,6665,6665,6665
133,2017,경 상 북 도,4535,4535,4535
134,2017,광 주 광 역 시,3671,3671,3671
135,2017,대 구 광 역 시,4182,4182,4182
136,2017,대 전 광 역 시,4498,4498,4498
137,2017,부 산 광 역 시,8663,8663,8663
138,2017,서 울 특 별 시,2589,2589,2589
139,2017,세 종 특 별 자 치 시,338,338,338
140,2017,울 산 광 역 시,2836,2836,2836
141,2017,인 천 광 역 시,6074,6074,6074
142,2017,전 라 남 도,4212,4212,4212
143,2017,전 라 북 도,4510,4510,4510
144,2017,제 주 특 별 자 치 도,4814,4814,4814
145,2017,충 청 남 도,5645,5645,5645
146,2017,충 청 북 도,3319,3319,3319
147,2018,강 원 도,5300,5300,5300
148,2018,경 기 도,30006,30006,30006
149,2018,경 상 남 도,10007,10007,10007
150,2018,경 상 북 도,7050,7050,7050
151,2018,광 주 광 역 시,3248,3248,3248
152,2018,대 구 광 역 시,4783,4783,4783
153,2018,대 전 광 역 시,5333,5333,5333
154,2018,부 산 광 역 시,8878,8878,8878
155,2018,서 울 특 별 시,2664,2664,2664
156,2018,세 종 특 별 자 치 시,402,402,402
157,2018,울 산 광 역 시,2882,2882,2882
158,2018,인 천 광 역 시,6867,6867,6867
159,2018,전 라 남 도,5861,5861,5861
160,2018,전 라 북 도,6012,6012,6012
161,2018,제 주 특 별 자 치 도,6881,6881,6881
162,2018,충 청 남 도,7267,7267,7267
163,2018,충 청 북 도,3366,3366,3366
164,2019,강 원 도,6180,6180,6180
165,2019,경 기 도,31645,31645,31645
166,2019,경 상 남 도,12319,12319,12319
167,2019,경 상 북 도,8653,8653,8653
168,2019,광 주 광 역 시,3830,3830,3830
169,2019,대 구 광 역 시,5455,5455,5455
170,2019,대 전 광 역 시,4847,4847,4847
171,2019,부 산 광 역 시,9922,9922,9922
172,2019,서 울 특 별 시,2585,2585,2585
173,2019,세 종 특 별 자 치 시,494,494,494
174,2019,울 산 광 역 시,3077,3077,3077
175,2019,인 천 광 역 시,6345,6345,6345
176,2019,전 라 남 도,7684,7684,7684
177,2019,전 라 북 도,7866,7866,7866
178,2019,제 주 특 별 자 치 도,7296,7296,7296
179,2019,충 청 남 도,8491,8491,8491
180,2019,충 청 북 도,4559,4559,4559
181,2020,강 원 도,5493,5493,5493
182,2020,경 기 도,29983,29983,29983
183,2020,경 상 남 도,11932,11932,11932
184,2020,경 상 북 도,9359,9359,9359
185,2020,광 주 광 역 시,3554,3554,3554
186,2020,대 구 광 역 시,5026,5026,5026
187,2020,대 전 광 역 시,3217,3217,3217
188,2020,부 산 광 역 시,9218,9218,9218
189,2020,서 울 특 별 시,2221,2221,2221
190,2020,세 종 특 별 자 치 시,327,327,327
191,2020,울 산 광 역 시,3325,3325,3325
192,2020,인 천 광 역 시,6282,6282,6282
193,2020,전 라 남 도,8439,8439,8439
194,2020,전 라 북 도,8818,8818,8818
195,2020,제 주 특 별 자 치 도,6297,6297,6297
196,2020,충 청 남 도,8844,8844,8844
197,2020,충 청 북 도,4376,4376,4376
198,2021,강 원 도,2491,2491,2491
199,2021,경 기 도,12860,12860,12860
200,2021,경 상 남 도,5125,5125,5125
201,2021,경 상 북 도,4170,4170,4170
202,2021,광 주 광 역 시,1592,1592,1592
203,2021,대 구 광 역 시,1979,1979,1979
204,2021,대 전 광 역 시,1030,1030,1030
205,2021,부 산 광 역 시,3799,3799,3799
206,2021,서 울 특 별 시,962,962,962
207,2021,세 종 특 별 자 치 시,311,311,311
208,2021,울 산 광 역 시,1368,1368,1368
209,2021,인 천 광 역 시,2640,2640,2640
210,2021,전 라 남 도,4106,4106,4106
211,2021,전 라 북 도,4211,4211,4211
212,2021,제 주 특 별 자 치 도,2504,2504,2504
213,2021,충 청 남 도,4185,4185,4185
214,2021,충 청 북 도,1901,1901,1901
