,happen_year,happen_month,happenDt,careAddr_0,careAddr_1
6,2009,01,988,988,988
7,2009,02,1075,1075,1075
8,2009,03,1667,1667,1667
9,2009,04,1881,1881,1881
10,2009,05,2109,2109,2109
11,2009,06,2683,2683,2683
12,2009,07,2806,2806,2806
13,2009,08,2876,2876,2876
14,2009,09,2567,2567,2567
15,2009,10,2261,2261,2261
16,2009,11,2050,2050,2050
17,2009,12,1821,1821,1821
18,2010,01,3234,3234,3234
19,2010,02,3174,3174,3174
20,2010,03,4196,4196,4196
21,2010,04,4579,4579,4579
22,2010,05,5883,5883,5883
23,2010,06,6273,6273,6273
24,2010,07,7112,7112,7112
25,2010,08,6630,6630,6630
26,2010,09,6331,6331,6331
27,2010,10,5493,5493,5493
28,2010,11,4521,4521,4521
29,2010,12,3384,3384,3384
30,2011,01,3074,3074,3074
31,2011,02,2946,2946,2946
32,2011,03,3827,3827,3827
33,2011,04,4343,4343,4343
34,2011,05,5614,5614,5614
35,2011,06,6424,6424,6424
36,2011,07,6769,6769,6769
37,2011,08,6600,6600,6600
38,2011,09,5550,5550,5550
39,2011,10,5538,5538,5538
40,2011,11,4590,4590,4590
41,2011,12,3675,3675,3675
42,2012,01,3897,3897,3897
43,2012,02,3940,3940,3940
44,2012,03,5133,5133,5133
45,2012,04,6182,6182,6182
46,2012,05,8368,8368,8368
47,2012,06,8348,8348,8348
48,2012,07,8324,8324,8324
49,2012,08,7638,7638,7638
50,2012,09,7003,7003,7003
51,2012,10,6519,6519,6519
52,2012,11,5428,5428,5428
53,2012,12,4205,4205,4205
54,2013,01,5137,5137,5137
55,2013,02,4634,4634,4634
56,2013,03,5711,5711,5711
57,2013,04,6361,6361,6361
58,2013,05,8549,8549,8549
59,2013,06,8539,8539,8539
60,2013,07,9392,9392,9392
61,2013,08,8073,8073,8073
62,2013,09,6898,6898,6898
63,2013,10,6963,6963,6963
64,2013,11,5511,5511,5511
65,2013,12,4836,4836,4836
66,2014,01,4514,4514,4514
67,2014,02,4686,4686,4686
68,2014,03,5499,5499,5499
69,2014,04,6380,6380,6380
70,2014,05,7581,7581,7581
71,2014,06,7851,7851,7851
72,2014,07,8346,8346,8346
73,2014,08,7758,7758,7758
74,2014,09,7330,7330,7330
75,2014,10,6808,6808,6808
76,2014,11,5676,5676,5676
77,2014,12,4857,4857,4857
78,2015,01,5036,5036,5036
79,2015,02,4232,4232,4232
80,2015,03,5627,5627,5627
81,2015,04,6798,6798,6798
82,2015,05,7594,7594,7594
83,2015,06,8200,8200,8200
84,2015,07,8235,8235,8235
85,2015,08,7936,7936,7936
86,2015,09,7098,7098,7098
87,2015,10,6900,6900,6900
88,2015,11,6026,6026,6026
89,2015,12,5349,5349,5349
90,2016,01,5000,5000,5000
91,2016,02,4982,4982,4982
92,2016,03,6039,6039,6039
93,2016,04,6914,6914,6914
94,2016,05,8446,8446,8446
95,2016,06,8595,8595,8595
96,2016,07,8851,8851,8851
97,2016,08,8699,8699,8699
98,2016,09,8432,8432,8432
99,2016,10,8627,8627,8627
100,2016,11,6723,6723,6723
101,2016,12,5659,5659,5659
102,2017,01,5507,5507,5507
103,2017,02,5173,5173,5173
104,2017,03,6488,6488,6488
105,2017,04,7437,7437,7437
106,2017,05,9688,9688,9688
107,2017,06,9559,9559,9559
108,2017,07,10892,10892,10892
109,2017,08,10925,10925,10925
110,2017,09,9811,9811,9811
111,2017,10,9147,9147,9147
112,2017,11,7934,7934,7934
113,2017,12,6590,6590,6590
114,2018,01,7232,7232,7232
115,2018,02,6341,6341,6341
116,2018,03,8684,8684,8684
117,2018,04,9583,9583,9583
118,2018,05,11795,11795,11795
119,2018,06,11291,11291,11291
120,2018,07,11630,11630,11630
121,2018,08,10897,10897,10897
122,2018,09,10718,10718,10718
123,2018,10,11211,11211,11211
124,2018,11,9738,9738,9738
125,2018,12,7687,7687,7687
126,2019,01,8999,8999,8999
127,2019,02,7738,7738,7738
128,2019,03,9126,9126,9126
129,2019,04,10895,10895,10895
130,2019,05,12160,12160,12160
131,2019,06,11769,11769,11769
132,2019,07,14268,14268,14268
133,2019,08,12817,12817,12817
134,2019,09,12671,12671,12671
135,2019,10,12486,12486,12486
136,2019,11,9707,9707,9707
137,2019,12,8612,8612,8612
138,2020,01,9681,9681,9681
139,2020,02,8880,8880,8880
140,2020,03,9852,9852,9852
141,2020,04,9810,9810,9810
142,2020,05,12350,12350,12350
143,2020,06,12447,12447,12447
144,2020,07,13501,13501,13501
145,2020,08,12022,12022,12022
146,2020,09,11305,11305,11305
147,2020,10,10463,10463,10463
148,2020,11,8810,8810,8810
149,2020,12,7590,7590,7590
150,2021,01,7605,7605,7605
151,2021,02,7097,7097,7097
152,2021,03,8772,8772,8772
153,2021,04,9204,9204,9204
154,2021,05,10979,10979,10979
155,2021,06,11577,11577,11577
