,careAddr_1,processState,careAddr
0,강 원 도,보호중,2092
1,강 원 도,종료(기증),106
2,강 원 도,종료(미포획),366
3,강 원 도,종료(반환),7063
4,강 원 도,종료(방사),696
5,강 원 도,종료(안락사),6765
6,강 원 도,종료(입양),16059
7,강 원 도,종료(자연사),9724
8,경 기 도,보호중,5229
9,경 기 도,종료(),13
10,경 기 도,종료(기증),7207
11,경 기 도,종료(미포획),386
12,경 기 도,종료(반환),47473
13,경 기 도,종료(방사),14442
14,경 기 도,종료(안락사),101939
15,경 기 도,종료(입양),100286
16,경 기 도,종료(자연사),58299
17,경 상 남 도,보호중,2608
18,경 상 남 도,종료(기증),1218
19,경 상 남 도,종료(미포획),95
20,경 상 남 도,종료(반환),7218
21,경 상 남 도,종료(방사),820
22,경 상 남 도,종료(안락사),16441
23,경 상 남 도,종료(입양),27922
24,경 상 남 도,종료(자연사),19074
25,경 상 북 도,보호중,2382
26,경 상 북 도,종료(),1
27,경 상 북 도,종료(기증),36
28,경 상 북 도,종료(미포획),61
29,경 상 북 도,종료(반환),4536
30,경 상 북 도,종료(방사),750
31,경 상 북 도,종료(안락사),12478
32,경 상 북 도,종료(입양),18783
33,경 상 북 도,종료(자연사),12084
34,광 주 광 역 시,보호중,474
35,광 주 광 역 시,종료(기증),3
36,광 주 광 역 시,종료(미포획),31
37,광 주 광 역 시,종료(반환),3844
38,광 주 광 역 시,종료(방사),132
39,광 주 광 역 시,종료(안락사),2662
40,광 주 광 역 시,종료(입양),7778
41,광 주 광 역 시,종료(자연사),9584
42,대 구 광 역 시,보호중,591
43,대 구 광 역 시,종료(기증),2169
44,대 구 광 역 시,종료(반환),5660
45,대 구 광 역 시,종료(방사),167
46,대 구 광 역 시,종료(안락사),13895
47,대 구 광 역 시,종료(입양),12883
48,대 구 광 역 시,종료(자연사),17434
49,대 전 광 역 시,보호중,4194
50,대 전 광 역 시,종료(),4
51,대 전 광 역 시,종료(미포획),3
52,대 전 광 역 시,종료(반환),7231
53,대 전 광 역 시,종료(안락사),8542
54,대 전 광 역 시,종료(입양),7945
55,대 전 광 역 시,종료(자연사),8889
56,부 산 광 역 시,보호중,2456
57,부 산 광 역 시,종료(기증),297
58,부 산 광 역 시,종료(미포획),6
59,부 산 광 역 시,종료(반환),7690
60,부 산 광 역 시,종료(방사),833
61,부 산 광 역 시,종료(안락사),8196
62,부 산 광 역 시,종료(입양),19311
63,부 산 광 역 시,종료(자연사),52091
64,서 울 특 별 시,보호중,2369
65,서 울 특 별 시,종료(),6
66,서 울 특 별 시,종료(기증),704
67,서 울 특 별 시,종료(미포획),11
68,서 울 특 별 시,종료(반환),8706
69,서 울 특 별 시,종료(방사),1249
70,서 울 특 별 시,종료(안락사),3470
71,서 울 특 별 시,종료(입양),19140
72,서 울 특 별 시,종료(자연사),8978
73,세 종 특 별 자 치 시,보호중,59
74,세 종 특 별 자 치 시,종료(반환),156
75,세 종 특 별 자 치 시,종료(방사),107
76,세 종 특 별 자 치 시,종료(안락사),1148
77,세 종 특 별 자 치 시,종료(입양),994
78,세 종 특 별 자 치 시,종료(자연사),319
79,울 산 광 역 시,보호중,630
80,울 산 광 역 시,종료(기증),2987
81,울 산 광 역 시,종료(미포획),60
82,울 산 광 역 시,종료(반환),2597
83,울 산 광 역 시,종료(방사),535
84,울 산 광 역 시,종료(안락사),5804
85,울 산 광 역 시,종료(입양),9571
86,울 산 광 역 시,종료(자연사),11131
87,인 천 광 역 시,보호중,519
88,인 천 광 역 시,종료(기증),112
89,인 천 광 역 시,종료(미포획),25
90,인 천 광 역 시,종료(반환),9234
91,인 천 광 역 시,종료(방사),504
92,인 천 광 역 시,종료(안락사),16242
93,인 천 광 역 시,종료(입양),17215
94,인 천 광 역 시,종료(자연사),19882
95,전 라 남 도,보호중,1453
96,전 라 남 도,종료(기증),1797
97,전 라 남 도,종료(미포획),63
98,전 라 남 도,종료(반환),3401
99,전 라 남 도,종료(방사),651
100,전 라 남 도,종료(안락사),11639
101,전 라 남 도,종료(입양),11922
102,전 라 남 도,종료(자연사),12372
103,전 라 북 도,보호중,2236
104,전 라 북 도,종료(),1
105,전 라 북 도,종료(기증),246
106,전 라 북 도,종료(미포획),17
107,전 라 북 도,종료(반환),4689
108,전 라 북 도,종료(방사),1639
109,전 라 북 도,종료(안락사),6243
110,전 라 북 도,종료(입양),22795
111,전 라 북 도,종료(자연사),14820
112,제 주 특 별 자 치 도,보호중,382
113,제 주 특 별 자 치 도,종료(기증),139
114,제 주 특 별 자 치 도,종료(미포획),14
115,제 주 특 별 자 치 도,종료(반환),2102
116,제 주 특 별 자 치 도,종료(방사),279
117,제 주 특 별 자 치 도,종료(안락사),17866
118,제 주 특 별 자 치 도,종료(입양),6637
119,제 주 특 별 자 치 도,종료(자연사),8718
120,충 청 남 도,보호중,2010
121,충 청 남 도,종료(기증),217
122,충 청 남 도,종료(미포획),2940
123,충 청 남 도,종료(반환),3652
124,충 청 남 도,종료(방사),716
125,충 청 남 도,종료(안락사),15535
126,충 청 남 도,종료(입양),20276
127,충 청 남 도,종료(자연사),6794
128,충 청 북 도,보호중,542
129,충 청 북 도,종료(기증),232
130,충 청 북 도,종료(미포획),13
131,충 청 북 도,종료(반환),4554
132,충 청 북 도,종료(방사),1531
133,충 청 북 도,종료(안락사),8017
134,충 청 북 도,종료(입양),11823
135,충 청 북 도,종료(자연사),7594
