,breedCnt,careAddr,careNm,careTel,closeDay,dataStdDt,divisionNm,dsignationDate,feedCnt,jibunAddr,lat,lng,medicalCnt,orgNm,quarabtineCnt,rnum,saveTrgtAnimal,specsPersonCnt,transCarCnt,vetPersonCnt,weekCellEtime,weekCellStime,weekOprEtime,weekOprStime,weekendCellEtime,weekendCellStime,weekendOprEtime,weekendOprStime
0,,대구광역시 북구 호국로 229 (서변동) 6층,(사)대구수의사회,053-764-3708,0,2020-12-18,법인,2017-01-01,, 6층,35.922355665,128.599034473,,대구광역시 수성구,,1,개+고양이+기타,0,,0,:,:,24:00,00:00,:,:,:,:
1,,부산광역시 강서구 제도로 726 (강동동) ,(사)하얀비둘기,051-293-9779,,2021-01-05,법인,,,부산광역시 강서구 강동동 3223-7 ,,,,부산광역시 사하구,,1,,,,,,,,,,,,
2,,서울특별시 용산구 보광동 259-1,21세기동물병원,02-749-6750,,2021-06-11,동물병원,,, 259-1,,,,서울특별시 용산구,,1,,,,,,,,,,,,
3,,경기도 부천시 오정구 원종동 229-8,24시아이동물메디컬,032-677-5262,,2015-02-23,동물병원,,, ,,,,경기도 부천시,,1,,,,,,,,,,,,
4,,"서울특별시 마포구 만리재로 74 (신공덕동, 신공덕2차삼성래미안) 삼성 래미안상가 117호",C.T종합동물병원,02-6375-0075,일요일+공휴일,2020-06-03,동물병원,2020-01-01,,서울특별시 마포구 신공덕동 160 삼성 래미안상가 117호,37.546859734,126.958384698,,서울특별시 마포구,,1,개+고양이+토끼+기니피그+페럿+햄스터,1,,1,19:00,10:00,19:30,09:30,15:00,10:00,16:00,09:30
5,,서울특별시 강동구 상일로 13 (상일동) 1~2층 GD동물병원,GD동물병원,02-429-8822,,2020-11-30,동물병원,,,서울특별시 강동구 상일동 341-2 1~2층 GD동물병원,,,,서울특별시 강동구,,1,,,,,,,,,,,,
6,1,울산광역시 울주군 온산읍 덕신로 250 (온산읍) ,MK동물병원,052-237-2475,공휴일,2020-06-05,동물병원,2020-01-01,1, ,35.433533,129.308733,1,울산광역시 울주군,1,1,개,2,,1,19:00,09:30,19:00,09:30,16:00,09:30,16:00,09:30
7,,"경기도 부천시 소향로 246 (중동, 새롬프라자6차) ",cj동물병원,032-323-4999,,,동물병원,,, ,,,,경기도 부천시,,1,,,,,,,,,,,,
8,,경기도 부천시 경인로 72 (송내동) ,가나동물병원,032-665-0075,,2021-03-03,동물병원,,, ,,,,경기도 부천시,,1,,,,,,,,,,,,
9,,경기도 파주시 가온로 116 (목동동) ,가온동물병원,031-945-7552,,2017-02-17,동물병원,,, ,,,,경기도 파주시,,1,,,,,,,,,,,,
10,,인천광역시 서구 가정로 346 (가정동) ,가정동물병원,032-575-0833,2,2020-01-23,동물병원,2019-01-01,,인천광역시 서구 가정동 517-32 ,37.515665283,126.673021837,,인천광역시 서구,,1,개+고양이+기타반려동물,4,1,2,:,:,20:00,10:00,:,:,:,:
11,,"경기도 가평군 가평읍 아랫마장길 59 (가평읍, 농업기술센터) 가평 유기동물 보호소(10:00~18:00)",가평군유기동물보호소,031-580-4748,,2009-02-25,법인,,, 가평 유기동물 보호소(10:00~18:00),37.8459716369,127.4986540628,,경기도 가평군,,1,,,,,,,,,,,,
12,,대구광역시 수성구 달구벌대로 3179 (매호동) 1층,감자동물병원,053-795-5589,일요일,2021-01-11,동물병원,2021-01-01,,대구광역시 수성구 매호동 1344-21 1층,35.841278417,128.704727246,,대구광역시 수성구,,1,개+고양이+기타,1,,1,:,:,20:00,10:00,:,:,18:00,10:00
13,,울산광역시 남구 돋질로 232 (달동) 1층,강남동물병원,052-271-0075,토요일+일요일,2020-06-04,동물병원,2020-01-09,, 1층,35.542604193,129.330474173,,울산광역시 남구,,1,개+고양이,1,,2,:,:,17:00,10:00,:,:,:,:
14,,"서울특별시 강동구 성내로 25 (성내동, 강동구청) 강동구청 ",강동구청 반려동물팀 ,02-3425-6015,,2020-11-30,법인,,, 강동구청 ,,,,서울특별시 강동구,,1,,,,,,,,,,,,
15,,서울특별시 강동구 양재대로81길 73 (성내동) 강동구 유기동물 분양센터(reborn),강동리본센터(reborn),070-4163-7350,,2020-11-30,법인,,, 강동구 유기동물 분양센터(reborn),,,,서울특별시 강동구,,1,,,,,,,,,,,,
16,15,강원도 강릉시 성산면 내맬길 172  ,강릉시동물사랑센터,033-641-7515,토요일+일요일,2021-03-26,단체,2006-01-01,,강원도 강릉시 성산면 산북리 1193 ,37.698788664,128.829276323,1,강원도 강릉시,1,1,개,3,1,1,:,:,18:00,09:00,:,:,:,:
17,8,"전라남도 강진군 강진읍 초지길 109-62 (강진읍, 강진군상하수도사업소) ",강진군 유기견 보호소,061-430-3613,토요일+일요일+공휴일,2020-06-01,법인,2015-08-21,0,전라남도 강진군 강진읍 목리 495 ,34.62315224,126.776205899,0,전라남도 강진군,0,1,개,1,1,1,18:00,09:00,18:00,09:00,:,:,:,:
18,2,서울특별시 양천구 등촌로 160 (목동) 1층,강현림동물병원,02-2642-9159,일요일+공휴일,2020-08-11,동물병원,2020-01-01,1,서울특별시 양천구 목동 657-16 1층,37.54403479,126.862420091,1,서울특별시 양천구,1,1,개+고양이+기타,2,1,1,18:00,10:00,20:00,10:00,18:00,10:00,20:00,10:00
19,,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",거제시유기동물보호소,055-639-6368,0,2020-06-02,법인,2009-08-24,,경상남도 거제시 사등면 사곡리 375-1 거제시유기동물보호소,34.883767588,128.573667027,,경상남도 거제시,,1,개+고양이,4,1,0,16:00,13:00,18:00,09:00,15:00,13:00,18:00,09:00
20,,인천광역시 중구 개항로 68 (경동) ,경동동물병원,032-765-9988,,2021-04-02,동물병원,,,인천광역시 중구 경동 240-60 ,,,,인천광역시 동구,,1,,,,,,,,,,,,
21,2,인천광역시 중구 개항로 68 (경동) ,경동동물병원,032-765-9988,일요일,2019-12-27,동물병원,2019-12-30,1, ,37.471957668,126.629945155,1,인천광역시 중구,1,1,개+고양이+기타,1,2,1,17:00,10:00,18:00,09:00,:,:,18:00,09:00
22,1,경상북도 경주시 용담로 12 (황성동) ,경주시유기동물보호소,010-3841-6303,일요일+공휴일,2021-03-05,동물병원,2017-01-02,1,경상북도 경주시 황성동 357-5 ,35.860817385,129.219656239,3,경상북도 경주시,1,1,개+고양이+기타,0,,1,18:00,09:30,18:00,09:30,:,:,:,:
23,,경상남도 고성군 고성읍 남해안대로 2829-60  고성군농업기술센터 동물보호센터,고성군유기동물보호소,055-670-4314,,2021-04-09,법인,,,경상남도 고성군 고성읍 우산리 206-2 농업기술센터 고성군농업기술센터 동물보호센터,,,,경상남도 고성군,,1,,,,,,,,,,,,
24,,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",고양시동물보호센터,031-962-3232,0,2020-01-23,법인,2014-02-19,, 고양시동물보호센터,37.649779396,126.870084624,,경기도 고양시,,1,개+고양이+기타축종,5,,1,:,:,22:00,09:00,:,:,:,:
25,,전라북도 고창군 무장면 원금곡길 13  ,고창동물병원,063-561-0561,일요일+공휴일,2021-01-10,동물병원,2017-01-01,,전라북도 고창군 무장면 원촌리 56-16 ,35.4379775760,126.6995480785,,전라북도 고창군,,1,개+고양이+기타,2,,1,:,:,18:00,09:00,:,:,:,:
26,1,전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24,광양시 임시보호소,061-797-3386,토요일+일요일,2019-10-01,법인,2019-10-14,1, ,34.988870019,127.57785957,1,전라남도 광양시,1,1,개+고양이+기타,1,1,1,17:00,10:00,18:00,09:00,:,:,:,:
27,,"광주광역시 북구 본촌마을길 25 (본촌동, 건국동사무소) 광주 동물보호소",광주 동물보호소,062-571-2808,,2013-02-01,법인,,, ,,,,광주광역시 동구,,1,,,,,,,,,,,,
28,,"광주광역시 북구 본촌마을길 25 (본촌동, 건국동사무소) 광주 동물보호소",광주 동물보호소,062-571-2808,,,법인,,, ,,,,광주광역시 서구,,1,,,,,,,,,,,,
29,,"광주광역시 북구 본촌마을길 25 (본촌동, 건국동사무소) 광주 동물보호소",광주 동물보호소,062-571-2808,,,법인,,, ,,,,광주광역시 남구,,1,,,,,,,,,,,,
30,13,"광주광역시 북구 본촌마을길 25 (본촌동, 건국동사무소) 광주 동물보호소",광주 동물보호소,062-571-2808,0,2020-06-02,법인,2011-07-01,1, 광주 동물보호소,35.22293555,126.881646146,1,광주광역시 북구,1,1,개+고양이+기타,6,1,1,16:30,13:30,17:30,09:30,16:30,13:30,17:30,09:30
