,loc_2,name,phone,location,location_0,location_1,CODE,NAME,X,Y,loc,loc_0,loc_1,scale
0,강원도 강릉시,15,15,15,15,15,42150,강릉시,128.8265,37.710499999999996,강원도 강릉시,강원도,강릉시,0.16091954022988506
1,강원도 고성군,3,3,3,3,3,42820,고성군,128.425,38.388999999999996,강원도 고성군,강원도,고성군,0.022988505747126436
2,강원도 동해시,4,4,4,4,4,42170,동해시,129.058,37.516,강원도 동해시,강원도,동해시,0.034482758620689655
3,강원도 삼척시,4,4,4,4,4,42230,삼척시,129.10399999999998,37.257999999999996,강원도 삼척시,강원도,삼척시,0.034482758620689655
4,강원도 속초시,8,8,8,8,8,42210,속초시,128.518,38.174,강원도 속초시,강원도,속초시,0.08045977011494253
5,강원도 양구군,2,2,2,2,2,42800,양구군,128.012,38.1655,강원도 양구군,강원도,양구군,0.011494252873563218
6,강원도 양양군,2,2,2,2,2,42830,양양군,128.60649999999998,38.012,강원도 양양군,강원도,양양군,0.011494252873563218
7,강원도 영월군,4,4,4,4,4,42750,영월군,128.5085,37.2185,강원도 영월군,강원도,영월군,0.034482758620689655
8,강원도 원주시,28,28,28,28,28,42130,원주시,127.981,37.325,강원도 원주시,강원도,원주시,0.3103448275862069
9,강원도 인제군,4,4,4,4,4,42810,인제군,128.2465,38.096000000000004,강원도 인제군,강원도,인제군,0.034482758620689655
10,강원도 정선군,4,4,4,4,4,42770,정선군,128.748,37.3695,강원도 정선군,강원도,정선군,0.034482758620689655
11,강원도 철원군,6,6,6,6,6,42780,철원군,127.453,38.2135,강원도 철원군,강원도,철원군,0.05747126436781609
12,강원도 춘천시,24,24,24,24,24,42110,춘천시,127.768,37.8805,강원도 춘천시,강원도,춘천시,0.26436781609195403
13,강원도 태백시,2,2,2,2,2,42190,태백시,128.98149999999998,37.20399999999999,강원도 태백시,강원도,태백시,0.011494252873563218
14,강원도 평창군,13,13,13,13,13,42760,평창군,128.5045,37.544,강원도 평창군,강원도,평창군,0.13793103448275862
15,강원도 홍천군,8,8,8,8,8,42720,홍천군,128.062,37.7485,강원도 홍천군,강원도,홍천군,0.08045977011494253
16,강원도 화천군,3,3,3,3,3,42790,화천군,127.6725,38.141,강원도 화천군,강원도,화천군,0.022988505747126436
17,강원도 횡성군,11,11,11,11,11,42730,횡성군,128.031,37.4895,강원도 횡성군,강원도,횡성군,0.11494252873563218
18,경기도 가평군,9,9,9,9,9,41820,가평군,127.44200000000001,37.811,경기도 가평군,경기도,가평군,0.09195402298850575
19,경기도 과천시,11,11,11,11,11,41290,과천시,127.00399999999999,37.4345,경기도 과천시,경기도,과천시,0.11494252873563218
20,경기도 광명시,17,17,17,17,17,41210,광명시,126.863,37.448499999999996,경기도 광명시,경기도,광명시,0.1839080459770115
21,경기도 광주시,31,31,31,31,31,41610,광주시,127.2895,37.4005,경기도 광주시,경기도,광주시,0.3448275862068966
22,경기도 구리시,18,18,18,18,18,41310,구리시,127.136,37.601,경기도 구리시,경기도,구리시,0.19540229885057472
23,경기도 군포시,13,13,13,13,13,41410,군포시,126.9175,37.342,경기도 군포시,경기도,군포시,0.13793103448275862
24,경기도 김포시,40,40,40,40,40,41570,김포시,126.549,37.602,경기도 김포시,경기도,김포시,0.4482758620689655
25,경기도 남양주시,51,51,51,51,51,41360,남양주시,127.22999999999999,37.6435,경기도 남양주시,경기도,남양주시,0.5747126436781609
26,경기도 동두천시,10,10,10,10,10,41250,동두천시,127.0805,37.920500000000004,경기도 동두천시,경기도,동두천시,0.10344827586206896
27,경기도 부천시,65,65,65,65,65,41190,부천시,126.7875,37.504999999999995,경기도 부천시,경기도,부천시,0.735632183908046
28,경기도 시흥시,35,35,35,35,35,41390,시흥시,126.784,37.3935,경기도 시흥시,경기도,시흥시,0.39080459770114945
29,경기도 안성시,29,29,29,29,29,41550,안성시,127.309,37.025,경기도 안성시,경기도,안성시,0.3218390804597701
30,경기도 양주시,19,19,19,19,19,41630,양주시,127.012,37.805499999999995,경기도 양주시,경기도,양주시,0.20689655172413793
31,경기도 양평군,14,14,14,14,14,41830,양평군,127.577,37.5185,경기도 양평군,경기도,양평군,0.14942528735632185
32,경기도 여주시,12,12,12,12,12,41670,여주시,127.5835,37.288,경기도 여주시,경기도,여주시,0.12643678160919541
33,경기도 연천군,7,7,7,7,7,41800,연천군,126.9965,38.084999999999994,경기도 연천군,경기도,연천군,0.06896551724137931
34,경기도 오산시,16,16,16,16,16,41370,오산시,127.0475,37.163,경기도 오산시,경기도,오산시,0.1724137931034483
35,경기도 의왕시,12,12,12,12,12,41430,의왕시,126.9885,37.358,경기도 의왕시,경기도,의왕시,0.12643678160919541
36,경기도 의정부시,32,32,32,32,32,41150,의정부시,127.0745,37.734,경기도 의정부시,경기도,의정부시,0.3563218390804598
37,경기도 이천시,31,31,31,31,31,41500,이천시,127.48400000000001,37.201499999999996,경기도 이천시,경기도,이천시,0.3448275862068966
38,경기도 파주시,47,47,47,47,47,41480,파주시,126.8385,37.8495,경기도 파주시,경기도,파주시,0.5287356321839081
39,경기도 평택시,53,53,53,53,53,41220,평택시,126.9665,37.022999999999996,경기도 평택시,경기도,평택시,0.5977011494252874
40,경기도 포천시,23,23,23,23,23,41650,포천시,127.2685,37.9675,경기도 포천시,경기도,포천시,0.25287356321839083
41,경기도 하남시,29,29,29,29,29,41450,하남시,127.213,37.5305,경기도 하남시,경기도,하남시,0.3218390804597701
42,경기도 화성시,74,74,74,74,74,41590,화성시,126.539,37.108000000000004,경기도 화성시,경기도,화성시,0.8390804597701149
43,경상남도 거제시,12,12,12,12,12,48310,거제시,128.71300000000002,34.786,경상남도 거제시,경상남도,거제시,0.12643678160919541
44,경상남도 거창군,13,13,13,13,13,48880,거창군,127.887,35.712,경상남도 거창군,경상남도,거창군,0.13793103448275862
45,경상남도 고성군,10,10,10,10,10,48820,고성군,128.2225,34.9285,경상남도 고성군,경상남도,고성군,0.10344827586206896
46,경상남도 김해시,48,48,48,48,48,48250,김해시,128.8535,35.2725,경상남도 김해시,경상남도,김해시,0.5402298850574713
47,경상남도 남해군,5,5,5,5,5,48840,남해군,128.047,34.6865,경상남도 남해군,경상남도,남해군,0.04597701149425287
48,경상남도 밀양시,13,13,13,13,13,48270,밀양시,128.7975,35.492999999999995,경상남도 밀양시,경상남도,밀양시,0.13793103448275862
49,경상남도 사천시,14,14,14,14,14,48240,사천시,128.0315,35.039,경상남도 사천시,경상남도,사천시,0.14942528735632185
50,경상남도 산청군,9,9,9,9,9,48860,산청군,127.9015,35.3975,경상남도 산청군,경상남도,산청군,0.09195402298850575
51,경상남도 양산시,22,22,22,22,22,48330,양산시,129.04649999999998,35.403,경상남도 양산시,경상남도,양산시,0.2413793103448276
52,경상남도 의령군,4,4,4,4,4,48720,의령군,128.2615,35.3855,경상남도 의령군,경상남도,의령군,0.034482758620689655
53,경상남도 진주시,35,35,35,35,35,48170,진주시,128.128,35.200500000000005,경상남도 진주시,경상남도,진주시,0.39080459770114945
54,경상남도 창녕군,14,14,14,14,14,48740,창녕군,128.5015,35.525999999999996,경상남도 창녕군,경상남도,창녕군,0.14942528735632185
55,경상남도 통영시,14,14,14,14,14,48220,통영시,128.3845,34.9045,경상남도 통영시,경상남도,통영시,0.14942528735632185
56,경상남도 하동군,5,5,5,5,5,48850,하동군,127.8315,34.936,경상남도 하동군,경상남도,하동군,0.04597701149425287
57,경상남도 함안군,9,9,9,9,9,48730,함안군,128.433,35.283,경상남도 함안군,경상남도,함안군,0.09195402298850575
58,경상남도 함양군,7,7,7,7,7,48870,함양군,127.7315,35.5435,경상남도 함양군,경상남도,함양군,0.06896551724137931
59,경상남도 합천군,14,14,14,14,14,48890,합천군,128.167,35.6,경상남도 합천군,경상남도,합천군,0.14942528735632185
60,경상북도 경산시,37,37,37,37,37,47290,경산시,128.8265,35.8475,경상북도 경산시,경상북도,경산시,0.41379310344827586
61,경상북도 경주시,34,34,34,34,34,47130,경주시,129.24450000000002,35.8595,경상북도 경주시,경상북도,경주시,0.3793103448275862
62,경상북도 고령군,9,9,9,9,9,47830,고령군,128.32150000000001,35.7315,경상북도 고령군,경상북도,고령군,0.09195402298850575
63,경상북도 구미시,38,38,38,38,38,47190,구미시,128.3485,36.2115,경상북도 구미시,경상북도,구미시,0.42528735632183906
64,경상북도 군위군,6,6,6,6,6,47720,군위군,128.655,36.167,경상북도 군위군,경상북도,군위군,0.05747126436781609
65,경상북도 김천시,16,16,16,16,16,47150,김천시,128.088,36.0435,경상북도 김천시,경상북도,김천시,0.1724137931034483
66,경상북도 문경시,11,11,11,11,11,47280,문경시,128.127,36.692499999999995,경상북도 문경시,경상북도,문경시,0.11494252873563218
67,경상북도 봉화군,6,6,6,6,6,47920,봉화군,128.9125,36.923500000000004,경상북도 봉화군,경상북도,봉화군,0.05747126436781609
68,경상북도 상주시,25,25,25,25,25,47250,상주시,128.06799999999998,36.447,경상북도 상주시,경상북도,상주시,0.27586206896551724
69,경상북도 성주군,8,8,8,8,8,47840,성주군,128.223,35.916,경상북도 성주군,경상북도,성주군,0.08045977011494253
70,경상북도 안동시,16,16,16,16,16,47170,안동시,128.7145,36.5595,경상북도 안동시,경상북도,안동시,0.1724137931034483
71,경상북도 영덕군,3,3,3,3,3,47770,영덕군,129.3005,36.4705,경상북도 영덕군,경상북도,영덕군,0.022988505747126436
72,경상북도 영양군,3,3,3,3,3,47760,영양군,129.149,36.686,경상북도 영양군,경상북도,영양군,0.022988505747126436
73,경상북도 영주시,14,14,14,14,14,47210,영주시,128.585,36.8805,경상북도 영주시,경상북도,영주시,0.14942528735632185
