,name,phone,location
0,(주)가나이십사시동물병원,402-4061,경기도 안산시 단원구 고잔동
1,(주)누리종합동물병원,033-761-0167,강원도 원주시 단구동
2,(주)다솜동물메디컬센터,051-632-7580,부산광역시 남구 문현동
3,(주)대경동물병원,,경상북도 구미시 선산읍 화조리
4,(주)돼지와건강,070-4256-8656,충청남도 홍성군 홍성읍 옥암리
5,(주)에니멀클리닉컨설팅(출장진료전문병원),031-233-2836,경기도 용인시 기흥구 신갈동
6,(주)옵티팜,043-249-7500,충청북도 청원군 오송읍 만수리
7,(주)옵티팜,043-249-7500,충청북도 청주시 흥덕구 오송읍 만수리
8,(주)이상윤동물병원,792-5455,서울특별시 용산구 이촌동
9,(주)정선가축병원,563-0198,강원도 정선군 정선읍 봉양리
10,(주)죽전동물메디컬센터,053-563-7585,대구광역시 달서구 용산동
11,(주)초록동물병원,,대구광역시 달서구 진천동
12,(주)펫동물병원,"031-334-4589, 017-232-6050",경기도 용인시 처인구 삼가동
13,(주)하림애니멀클리닉,831-1252,전라북도 익산시 마동
14,(주)한빛종합동물병원,951-7582,서울특별시 노원구 상계동
15,119동물병원,053-585-1195,대구광역시 달성군 다사읍 매곡리
16,21세기 종합동물병원,251-7588,전라북도 전주시 덕진구 송천동1가
17,21세기동물병원,749-6750,서울특별시 용산구 보광동
18,21세기동물병원,061-279-0006,전라남도 목포시 상동
19,21세기동물병원,8015-3178,경기도 화성시 반송동
20,21세기종합동물병원,365-0075,부산광역시 북구 덕천동
21,21세기종합동물병원,959-0121,대구광역시 동구 효목동
22,24시 SNC 동물메디컬센터,02-562-7582,서울특별시 강남구 역삼동
23,24시 강서 젠틀리동물의료센터,02-2662-8111,서울특별시 강서구 마곡동
24,24시 건국 본 동물병원,864-0075,인천광역시 미추홀구 주안동
25,24시 굿케어동물의료센터,02-6956-2475,서울특별시 관악구 봉천동
26,24시 글로리 동물병원,02-855-8575,서울특별시 금천구 독산동
27,24시 나음동물의료센터,031-906-7975,경기도 고양시 일산동구 장항동
28,24시 당신의 동물의료센터,031-268-6575,경기도 수원시 장안구 천천동
29,24시 대전동물의료센터,042-322-7553,대전광역시 유성구 봉명동
30,24시 더나은 동물메디컬 센터,055-716-1175(010-9378-9376),경상남도 거제시 고현동
